"","Japanese_Name","Pokedex_Number","Classfication","Generation","Region","Is_Legendary","Type_1","Type_2","Abiity_1","Abiity_2","Abiity_3","Abiity_4","Abiity_5","Abiity_6","Against_Bug","Against_Dark","Against_Dragon","Against_Electric","Against_Fairy","Against_Fight","Against_Fire","Against_Flying","Against_Ghost","Against_Grass","Against_Ground","Against_Ice","Against_Normal","Against_Poison","Against_Psychic","Against_Rock","Against_Steel","Against_Water","Hp","Height_m","Weight_Kg","Attack","Defense","Sp_Attack","Sp_Defense","Speed","Region.1","Base_Egg_Steps","Experience_Growth","Base_Happiness","Base_Total","Capture_Rate"
"Bulbasaur","Fushigidane<U+30D5><U+30B7><U+30AE><U+30C0><U+30CD>",1,"Seed Pokémon","I","Kanto",0,"Grass","Poison","Overgrow"," Chlorophyll",NA,NA,NA,NA,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,45,0.7,6.9,49,49,65,65,45,"Kanto",5120,1059860,70,318,"45"
"Ivysaur","Fushigisou<U+30D5><U+30B7><U+30AE><U+30BD><U+30A6>",2,"Seed Pokémon","I","Kanto",0,"Grass","Poison","Overgrow"," Chlorophyll",NA,NA,NA,NA,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,60,1,13,62,63,80,80,60,"Kanto",5120,1059860,70,405,"45"
"Venusaur","Fushigibana<U+30D5><U+30B7><U+30AE><U+30D0><U+30CA>",3,"Seed Pokémon","I","Kanto",0,"Grass","Poison","Overgrow"," Chlorophyll",NA,NA,NA,NA,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,80,2,100,100,123,122,120,80,"Kanto",5120,1059860,70,625,"45"
"Charmander","Hitokage<U+30D2><U+30C8><U+30AB><U+30B2>",4,"Lizard Pokémon","I","Kanto",0,"Fire","None","Blaze"," Solar Power",NA,NA,NA,NA,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,39,0.6,8.5,52,43,60,50,65,"Kanto",5120,1059860,70,309,"45"
"Charmeleon","Lizardo<U+30EA><U+30B6><U+30FC><U+30C9>",5,"Flame Pokémon","I","Kanto",0,"Fire","None","Blaze"," Solar Power",NA,NA,NA,NA,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,58,1.1,19,64,58,80,65,80,"Kanto",5120,1059860,70,405,"45"
"Charizard","Lizardon<U+30EA><U+30B6><U+30FC><U+30C9><U+30F3>",6,"Flame Pokémon","I","Kanto",0,"Fire","Flying","Blaze"," Solar Power",NA,NA,NA,NA,0.25,1,1,2,0.5,0.5,0.5,1,1,0.25,0,1,1,1,1,4,0.5,2,78,1.7,90.5,104,78,159,115,100,"Kanto",5120,1059860,70,634,"45"
"Squirtle","Zenigame<U+30BC><U+30CB><U+30AC><U+30E1>",7,"Tiny Turtle Pokémon","I","Kanto",0,"Water","None","Torrent"," Rain Dish",NA,NA,NA,NA,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,44,0.5,9,48,65,50,64,43,"Kanto",5120,1059860,70,314,"45"
"Wartortle","Kameil<U+30AB><U+30E1><U+30FC><U+30EB>",8,"Turtle Pokémon","I","Kanto",0,"Water","None","Torrent"," Rain Dish",NA,NA,NA,NA,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,59,1,22.5,63,80,65,80,58,"Kanto",5120,1059860,70,405,"45"
"Blastoise","Kamex<U+30AB><U+30E1><U+30C3><U+30AF><U+30B9>",9,"Shellfish Pokémon","I","Kanto",0,"Water","None","Torrent"," Rain Dish",NA,NA,NA,NA,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,79,1.6,85.5,103,120,135,115,78,"Kanto",5120,1059860,70,630,"45"
"Caterpie","Caterpie<U+30AD><U+30E3><U+30BF><U+30D4><U+30FC>",10,"Worm Pokémon","I","Kanto",0,"Bug","None","Shield Dust"," Run Away",NA,NA,NA,NA,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,45,0.3,2.9,30,35,20,20,45,"Kanto",3840,1000000,70,195,"255"
"Metapod","Transel<U+30C8><U+30E9><U+30F3><U+30BB><U+30EB>",11,"Cocoon Pokémon","I","Kanto",0,"Bug","None","Shed Skin",NA,NA,NA,NA,NA,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,50,0.7,9.9,20,55,25,25,30,"Kanto",3840,1000000,70,205,"120"
"Butterfree","Butterfree<U+30D0><U+30BF><U+30D5><U+30EA><U+30FC>",12,"Butterfly Pokémon","I","Kanto",0,"Bug","Flying","Compoundeyes"," Tinted Lens",NA,NA,NA,NA,0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,60,1.1,32,45,50,90,80,70,"Kanto",3840,1000000,70,395,"45"
"Weedle","Beedle<U+30D3><U+30FC><U+30C9><U+30EB>",13,"Hairy Pokémon","I","Kanto",0,"Bug","Poison","Shield Dust"," Run Away",NA,NA,NA,NA,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,40,0.3,3.2,35,30,20,20,50,"Kanto",3840,1000000,70,195,"255"
"Kakuna","Cocoon<U+30B3><U+30AF><U+30FC><U+30F3>",14,"Cocoon Pokémon","I","Kanto",0,"Bug","Poison","Shed Skin",NA,NA,NA,NA,NA,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,45,0.6,10,25,50,25,25,35,"Kanto",3840,1000000,70,205,"120"
"Beedrill","Spear<U+30B9><U+30D4><U+30A2><U+30FC>",15,"Poison Bee Pokémon","I","Kanto",0,"Bug","Poison","Swarm"," Sniper",NA,NA,NA,NA,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,65,1,29.5,150,40,15,80,145,"Kanto",3840,1000000,70,495,"45"
"Pidgey","Poppo<U+30DD><U+30C3><U+30DD>",16,"Tiny Bird Pokémon","I","Kanto",0,"Normal","Flying","Keen Eye"," Tangled Feet"," Big Pecks",NA,NA,NA,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,40,0.3,1.8,45,40,35,35,56,"Kanto",3840,1059860,70,251,"255"
"Pidgeotto","Pigeon<U+30D4><U+30B8><U+30E7><U+30F3>",17,"Bird Pokémon","I","Kanto",0,"Normal","Flying","Keen Eye"," Tangled Feet"," Big Pecks",NA,NA,NA,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,63,1.1,30,60,55,50,50,71,"Kanto",3840,1059860,70,349,"120"
"Pidgeot","Pigeot<U+30D4><U+30B8><U+30E7><U+30C3><U+30C8>",18,"Bird Pokémon","I","Kanto",0,"Normal","Flying","Keen Eye"," Tangled Feet"," Big Pecks",NA,NA,NA,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,83,1.5,39.5,80,80,135,80,121,"Kanto",3840,1059860,70,579,"45"
"Rattata","Koratta<U+30B3><U+30E9><U+30C3><U+30BF>",19,"Mouse Pokémon","I","Kanto",0,"Normal","Dark","Run Away"," Guts"," Hustle"," Gluttony"," Hustle"," Thick Fat",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,30,0.3,3.5,56,35,25,35,72,"Kanto",3840,1000000,70,253,"255"
"Raticate","Ratta<U+30E9><U+30C3><U+30BF>",20,"Mouse Pokémon","I","Kanto",0,"Normal","Dark","Run Away"," Guts"," Hustle"," Gluttony"," Hustle"," Thick Fat",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,75,0.7,18.5,71,70,40,80,77,"Kanto",3840,1000000,70,413,"127"
"Spearow","Onisuzume<U+30AA><U+30CB><U+30B9><U+30BA><U+30E1>",21,"Tiny Bird Pokémon","I","Kanto",0,"Normal","Flying","Keen Eye"," Sniper",NA,NA,NA,NA,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,40,0.3,2,60,30,31,31,70,"Kanto",3840,1000000,70,262,"255"
"Fearow","Onidrill<U+30AA><U+30CB><U+30C9><U+30EA><U+30EB>",22,"Beak Pokémon","I","Kanto",0,"Normal","Flying","Keen Eye"," Sniper",NA,NA,NA,NA,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,65,1.2,38,90,65,61,61,100,"Kanto",3840,1000000,70,442,"90"
"Ekans","Arbo<U+30A2><U+30FC><U+30DC>",23,"Snake Pokémon","I","Kanto",0,"Poison","None","Intimidate"," Shed Skin"," Unnerve",NA,NA,NA,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,35,2,6.9,60,44,40,54,55,"Kanto",5120,1000000,70,288,"255"
"Arbok","Arbok<U+30A2><U+30FC><U+30DC><U+30C3><U+30AF>",24,"Cobra Pokémon","I","Kanto",0,"Poison","None","Intimidate"," Shed Skin"," Unnerve",NA,NA,NA,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,60,3.5,65,95,69,65,79,80,"Kanto",5120,1000000,70,448,"90"
"Pikachu","Pikachu<U+30D4><U+30AB><U+30C1><U+30E5><U+30A6>",25,"Mouse Pokémon","I","Kanto",0,"Electric","None","Static"," Lightningrod",NA,NA,NA,NA,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,35,0.4,6,55,40,50,50,90,"Kanto",2560,1000000,70,320,"190"
"Raichu","Raichu<U+30E9><U+30A4><U+30C1><U+30E5><U+30A6>",26,"Mouse Pokémon","I","Kanto",0,"Electric","Electric","Static"," Lightningrod"," Surge Surfer",NA,NA,NA,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,60,0.8,30,85,50,95,85,110,"Kanto",2560,1000000,70,485,"75"
"Sandshrew","Sand<U+30B5><U+30F3><U+30C9>",27,"Mouse Pokémon","I","Kanto",0,"Ground","Ice","Sand Veil"," Sand Rush"," Snow Cloak"," Slush Rush",NA,NA,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,50,0.6,12,75,90,10,35,40,"Kanto",5120,1000000,70,300,"255"
"Sandslash","Sandpan<U+30B5><U+30F3><U+30C9><U+30D1><U+30F3>",28,"Mouse Pokémon","I","Kanto",0,"Ground","Ice","Sand Veil"," Sand Rush"," Snow Cloak"," Slush Rush",NA,NA,1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,75,1,29.5,100,120,25,65,65,"Kanto",5120,1000000,70,450,"90"
"Nidoran<U+2640>","Nidoran?<U+30CB><U+30C9><U+30E9><U+30F3><U+2640>",29,"Poison Pin Pokémon","I","Kanto",0,"Poison","None","Poison Point"," Rivalry"," Hustle",NA,NA,NA,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,55,0.4,7,47,52,40,40,41,"Kanto",5120,1059860,70,275,"235"
"Nidorina","Nidorina<U+30CB><U+30C9><U+30EA><U+30FC><U+30CA>",30,"Poison Pin Pokémon","I","Kanto",0,"Poison","None","Poison Point"," Rivalry"," Hustle",NA,NA,NA,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,70,0.8,20,62,67,55,55,56,"Kanto",5120,1059860,70,365,"120"
"Nidoqueen","Nidoqueen<U+30CB><U+30C9><U+30AF><U+30A4><U+30F3>",31,"Drill Pokémon","I","Kanto",0,"Poison","Ground","Poison Point"," Rivalry"," Sheer Force",NA,NA,NA,0.5,1,1,0,0.5,0.5,1,1,1,1,2,2,1,0.25,2,0.5,1,2,90,1.3,60,92,87,75,85,76,"Kanto",5120,1059860,70,505,"45"
"Nidoran<U+2642>","Nidoran?<U+30CB><U+30C9><U+30E9><U+30F3><U+2642>",32,"Poison Pin Pokémon","I","Kanto",0,"Poison","None","Poison Point"," Rivalry"," Hustle",NA,NA,NA,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,46,0.5,9,57,40,40,40,50,"Kanto",5120,1059860,70,273,"235"
"Nidorino","Nidorino<U+30CB><U+30C9><U+30EA><U+30FC><U+30CE>",33,"Poison Pin Pokémon","I","Kanto",0,"Poison","None","Poison Point"," Rivalry"," Hustle",NA,NA,NA,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,61,0.9,19.5,72,57,55,55,65,"Kanto",5120,1059860,70,365,"120"
"Nidoking","Nidoking<U+30CB><U+30C9><U+30AD><U+30F3><U+30B0>",34,"Drill Pokémon","I","Kanto",0,"Poison","Ground","Poison Point"," Rivalry"," Sheer Force",NA,NA,NA,0.5,1,1,0,0.5,0.5,1,1,1,1,2,2,1,0.25,2,0.5,1,2,81,1.4,62,102,77,85,75,85,"Kanto",5120,1059860,70,505,"45"
"Clefairy","Pippi<U+30D4><U+30C3><U+30D4>",35,"Fairy Pokémon","I","Kanto",0,"Fairy","None","Cute Charm"," Magic Guard"," Friend Guard",NA,NA,NA,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,70,0.6,7.5,45,48,60,65,35,"Kanto",2560,800000,140,323,"150"
"Clefable","Pixy<U+30D4><U+30AF><U+30B7><U+30FC>",36,"Fairy Pokémon","I","Kanto",0,"Fairy","None","Cute Charm"," Magic Guard"," Unaware",NA,NA,NA,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,95,1.3,40,70,73,95,90,60,"Kanto",2560,800000,140,483,"25"
"Vulpix","Rokon<U+30ED><U+30B3><U+30F3>",37,"Fox Pokémon","I","Kanto",0,"Fire","Ice","Flash Fire"," Drought"," Snow Cloak"," Snow Warning",NA,NA,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,38,0.6,9.9,41,40,50,65,65,"Kanto",5120,1000000,70,299,"190"
"Ninetales","Kyukon<U+30AD><U+30E5><U+30A6><U+30B3><U+30F3>",38,"Fox Pokémon","I","Kanto",0,"Fire","Ice","Flash Fire"," Drought"," Snow Cloak"," Snow Warning",NA,NA,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,73,1.1,19.9,67,75,81,100,109,"Kanto",5120,1000000,70,505,"75"
"Jigglypuff","Purin<U+30D7><U+30EA><U+30F3>",39,"Balloon Pokémon","I","Kanto",0,"Normal","Fairy","Cute Charm"," Competitive"," Friend Guard",NA,NA,NA,0.5,0.5,0,1,1,1,1,1,0,1,1,1,1,2,1,1,2,1,115,0.5,5.5,45,20,45,25,20,"Kanto",2560,800000,70,270,"170"
"Wigglytuff","Pukurin<U+30D7><U+30AF><U+30EA><U+30F3>",40,"Balloon Pokémon","I","Kanto",0,"Normal","Fairy","Cute Charm"," Competitive"," Frisk",NA,NA,NA,0.5,0.5,0,1,1,1,1,1,0,1,1,1,1,2,1,1,2,1,140,1,12,70,45,85,50,45,"Kanto",2560,800000,70,435,"50"
"Zubat","Zubat<U+30BA><U+30D0><U+30C3><U+30C8>",41,"Bat Pokémon","I","Kanto",0,"Poison","Flying","Inner Focus"," Infiltrator",NA,NA,NA,NA,0.25,1,1,2,0.5,0.25,1,1,1,0.25,0,2,1,0.5,2,2,1,1,40,0.8,7.5,45,35,30,40,55,"Kanto",3840,1000000,70,245,"255"
