"","Pokedex_Number","Classfication","Generation","Region","Is_Legendary","Type_1","Type_2","Ability_1","Ability_2","Ability_3","Ability_4","Ability_5","Ability_6","Against_Bug","Against_Dark","Against_Dragon","Against_Electric","Against_Fairy","Against_Fight","Against_Fire","Against_Flying","Against_Ghost","Against_Grass","Against_Ground","Against_Ice","Against_Normal","Against_Poison","Against_Psychic","Against_Rock","Against_Steel","Against_Water","Hp","Height_m","Weight_Kg","Attack","Defense","Sp_Attack","Sp_Defense","Speed","Base_Egg_Steps","Experience_Growth","Base_Happiness","Base_Total","Capture_Rate"
"Bulbasaur",1,"Seed Pokémon","I","Kanto",0,"Grass","Poison","Overgrow"," Chlorophyll",NA,NA,NA,NA,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,45,0.7,6.9,49,49,65,65,45,5120,1059860,70,318,45
"Ivysaur",2,"Seed Pokémon","I","Kanto",0,"Grass","Poison","Overgrow"," Chlorophyll",NA,NA,NA,NA,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,60,1,13,62,63,80,80,60,5120,1059860,70,405,45
"Venusaur",3,"Seed Pokémon","I","Kanto",0,"Grass","Poison","Overgrow"," Chlorophyll",NA,NA,NA,NA,1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,80,2,100,100,123,122,120,80,5120,1059860,70,625,45
"Charmander",4,"Lizard Pokémon","I","Kanto",0,"Fire","None","Blaze"," Solar Power",NA,NA,NA,NA,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,39,0.6,8.5,52,43,60,50,65,5120,1059860,70,309,45
"Charmeleon",5,"Flame Pokémon","I","Kanto",0,"Fire","None","Blaze"," Solar Power",NA,NA,NA,NA,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,58,1.1,19,64,58,80,65,80,5120,1059860,70,405,45
"Charizard",6,"Flame Pokémon","I","Kanto",0,"Fire","Flying","Blaze"," Solar Power",NA,NA,NA,NA,0.25,1,1,2,0.5,0.5,0.5,1,1,0.25,0,1,1,1,1,4,0.5,2,78,1.7,90.5,104,78,159,115,100,5120,1059860,70,634,45
"Squirtle",7,"Tiny Turtle Pokémon","I","Kanto",0,"Water","None","Torrent"," Rain Dish",NA,NA,NA,NA,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,44,0.5,9,48,65,50,64,43,5120,1059860,70,314,45
"Wartortle",8,"Turtle Pokémon","I","Kanto",0,"Water","None","Torrent"," Rain Dish",NA,NA,NA,NA,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,59,1,22.5,63,80,65,80,58,5120,1059860,70,405,45
"Blastoise",9,"Shellfish Pokémon","I","Kanto",0,"Water","None","Torrent"," Rain Dish",NA,NA,NA,NA,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,79,1.6,85.5,103,120,135,115,78,5120,1059860,70,630,45
"Caterpie",10,"Worm Pokémon","I","Kanto",0,"Bug","None","Shield Dust"," Run Away",NA,NA,NA,NA,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,45,0.3,2.9,30,35,20,20,45,3840,1000000,70,195,255
"Metapod",11,"Cocoon Pokémon","I","Kanto",0,"Bug","None","Shed Skin",NA,NA,NA,NA,NA,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,50,0.7,9.9,20,55,25,25,30,3840,1000000,70,205,120
"Butterfree",12,"Butterfly Pokémon","I","Kanto",0,"Bug","Flying","Compoundeyes"," Tinted Lens",NA,NA,NA,NA,0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,60,1.1,32,45,50,90,80,70,3840,1000000,70,395,45
"Weedle",13,"Hairy Pokémon","I","Kanto",0,"Bug","Poison","Shield Dust"," Run Away",NA,NA,NA,NA,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,40,0.3,3.2,35,30,20,20,50,3840,1000000,70,195,255
"Kakuna",14,"Cocoon Pokémon","I","Kanto",0,"Bug","Poison","Shed Skin",NA,NA,NA,NA,NA,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,45,0.6,10,25,50,25,25,35,3840,1000000,70,205,120
"Beedrill",15,"Poison Bee Pokémon","I","Kanto",0,"Bug","Poison","Swarm"," Sniper",NA,NA,NA,NA,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,65,1,29.5,150,40,15,80,145,3840,1000000,70,495,45
"Pidgey",16,"Tiny Bird Pokémon","I","Kanto",0,"Normal","Flying","Keen Eye"," Tangled Feet"," Big Pecks",NA,NA,NA,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,40,0.3,1.8,45,40,35,35,56,3840,1059860,70,251,255
"Pidgeotto",17,"Bird Pokémon","I","Kanto",0,"Normal","Flying","Keen Eye"," Tangled Feet"," Big Pecks",NA,NA,NA,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,63,1.1,30,60,55,50,50,71,3840,1059860,70,349,120
"Pidgeot",18,"Bird Pokémon","I","Kanto",0,"Normal","Flying","Keen Eye"," Tangled Feet"," Big Pecks",NA,NA,NA,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,83,1.5,39.5,80,80,135,80,121,3840,1059860,70,579,45
"Rattata",19,"Mouse Pokémon","I","Kanto",0,"Normal","Dark","Run Away"," Guts"," Hustle"," Gluttony"," Hustle"," Thick Fat",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,30,0.3,3.5,56,35,25,35,72,3840,1000000,70,253,255
"Raticate",20,"Mouse Pokémon","I","Kanto",0,"Normal","Dark","Run Away"," Guts"," Hustle"," Gluttony"," Hustle"," Thick Fat",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,75,0.7,18.5,71,70,40,80,77,3840,1000000,70,413,127
"Spearow",21,"Tiny Bird Pokémon","I","Kanto",0,"Normal","Flying","Keen Eye"," Sniper",NA,NA,NA,NA,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,40,0.3,2,60,30,31,31,70,3840,1000000,70,262,255
"Fearow",22,"Beak Pokémon","I","Kanto",0,"Normal","Flying","Keen Eye"," Sniper",NA,NA,NA,NA,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,65,1.2,38,90,65,61,61,100,3840,1000000,70,442,90
"Ekans",23,"Snake Pokémon","I","Kanto",0,"Poison","None","Intimidate"," Shed Skin"," Unnerve",NA,NA,NA,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,35,2,6.9,60,44,40,54,55,5120,1000000,70,288,255
"Arbok",24,"Cobra Pokémon","I","Kanto",0,"Poison","None","Intimidate"," Shed Skin"," Unnerve",NA,NA,NA,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,60,3.5,65,95,69,65,79,80,5120,1000000,70,448,90
"Pikachu",25,"Mouse Pokémon","I","Kanto",0,"Electric","None","Static"," Lightningrod",NA,NA,NA,NA,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,35,0.4,6,55,40,50,50,90,2560,1000000,70,320,190
"Raichu",26,"Mouse Pokémon","I","Kanto",0,"Electric","Electric","Static"," Lightningrod"," Surge Surfer",NA,NA,NA,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,60,0.8,30,85,50,95,85,110,2560,1000000,70,485,75
